backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,min_us,mean_us,stddev_us,p50_us,p95_us,p99_us,max_us
opencv_neon,nv21_resize_rgb,nearest,640,480,1280,720,90,0,200,1108,2702.24,984.21,2540,4819,5278,5943
opencv_neon,nv21_resize_rgb,nearest,640,480,1280,720,90,2,200,1802,3103.30,968.75,2956,5629,6091,7543
opencv_neon,nv21_resize_rgb,nearest,640,480,1280,720,90,4,200,1640,2773.31,806.46,2780,3722,5772,7169
opencv_neon,nv21_resize_rgb,linear,1920,1080,640,480,90,0,200,977,1533.97,382.44,1474,2373,2667,2730
opencv_neon,nv21_resize_rgb,linear,1920,1080,640,480,90,2,200,1157,1601.17,307.88,1526,2114,2886,3166
opencv_neon,nv21_resize_rgb,linear,1920,1080,640,480,90,4,200,1162,1694.24,341.29,1614,2255,2981,3098
opencv_neon,nv21_resize_rgb,linear,1920,1080,1280,720,90,0,200,2588,4712.68,1077.89,4628,6820,7909,8063
opencv_neon,nv21_resize_rgb,linear,1920,1080,1280,720,90,2,200,3450,4503.98,548.14,4404,5494,6127,6525
opencv_neon,nv21_resize_rgb,linear,1920,1080,1280,720,90,4,200,3333,4094.89,364.50,4141,4648,5161,5336
opencv_neon,nv21_resize_rgb,linear,1280,720,640,480,90,0,200,1013,1913.32,453.50,1831,2702,2975,3766
opencv_neon,nv21_resize_rgb,linear,1280,720,640,480,90,2,200,1190,1809.55,408.25,1720,2575,2979,3821
opencv_neon,nv21_resize_rgb,linear,1280,720,640,480,90,4,200,1179,1516.05,176.53,1526,1835,1957,2007
opencv_neon,nv21_resize_rgb,linear,640,480,1280,720,90,0,200,2671,4948.31,1172.43,4727,7164,8856,10118
opencv_neon,nv21_resize_rgb,linear,640,480,1280,720,90,2,200,3633,4861.65,799.58,4720,6292,7694,9300
opencv_neon,nv21_resize_rgb,linear,640,480,1280,720,90,4,200,3404,4151.28,390.63,4138,4749,5607,5850
opencv_neon,nv21_resize_rgb,area,1920,1080,640,480,90,0,200,20905,24912.10,2281.01,24833,28666,30553,30804
opencv_neon,nv21_resize_rgb,area,1920,1080,640,480,90,2,200,20620,24640.85,3059.43,23626,30998,33241,34649
opencv_neon,nv21_resize_rgb,area,1920,1080,640,480,90,4,200,31964,40074.71,3297.46,40010,46019,48350,53181
opencv_neon,nv21_resize_rgb,area,1920,1080,1280,720,90,0,200,58831,66719.92,4048.37,66382,74007,76274,78676
opencv_neon,nv21_resize_rgb,area,1920,1080,1280,720,90,2,200,67185,72152.81,3436.59,71546,78942,81530,83045
opencv_neon,nv21_resize_rgb,area,1920,1080,1280,720,90,4,200,67479,79702.27,6291.05,79460,89802,94034,97179
opencv_neon,nv21_resize_rgb,area,1280,720,640,480,90,0,200,17218,20560.70,2141.57,20166,24240,26327,27863
opencv_neon,nv21_resize_rgb,area,1280,720,640,480,90,2,200,17111,20289.11,2535.61,19642,24958,28025,30428
opencv_neon,nv21_resize_rgb,area,1280,720,640,480,90,4,200,26395,33236.34,2547.71,32870,38606,39818,40885
